"playerid","bbrefid","name","player_url"
gallawi01,gallawi01,William Gallagher,https://www.baseball-reference.com/players/g/gallawi01.shtml
garcida99,garcida99,Dave Garcia,https://www.baseball-reference.com/players/g/garcida99.shtml
garcifr02,garcifr03,Freddy Garcia,https://www.baseball-reference.com/players/g/garcifr03.shtml
gardnal01,gardnal01,Alex Gardner,https://www.baseball-reference.com/players/g/gardnal01.shtml
gardnbi01,gardnbi01,Bill Gardner,https://www.baseball-reference.com/players/g/gardnbi01.shtml
gardnje01,gardnje01,Jeff Gardner,https://www.baseball-reference.com/players/g/gardnje01.shtml
gaubjo01,gaubjo01,John Gaub,https://www.baseball-reference.com/players/g/gaubjo01.shtml
gaver01,gaver01,McGovern,https://www.baseball-reference.com/players/m/gaver01.shtml
gibsoro01,gibsoro01,Robert Gibson,https://www.baseball-reference.com/players/g/gibsoro01.shtml
giffoji99,giffoji99,Jim Gifford,https://www.baseball-reference.com/players/g/giffoji99.shtml
gilbebi01,gilbebi01,Bill Gilbert,https://www.baseball-reference.com/players/g/gilbebi01.shtml
gileswa99,gileswa99,Warren Giles,https://www.baseball-reference.com/players/g/gileswa99.shtml
gilgahu01,gilgahu01,Hugh Gilgan,https://www.baseball-reference.com/players/g/gilgahu01.shtml
greenri02,greenri03,Riley Greene,https://www.baseball-reference.com/players/g/greenri03.shtml
gilledu01,gillejo01,John Gillespie,https://www.baseball-reference.com/players/g/gillejo01.shtml
gilleji01,gilleji01,John Gillespie,https://www.baseball-reference.com/players/g/gilleji01.shtml
gilleto01,gilleto01,Tom Gillen,https://www.baseball-reference.com/players/g/gilleto01.shtml
gillipa99,gillipa99,Pat Gillick,https://www.baseball-reference.com/players/g/gillipa99.shtml
gilmapi01,gilmapi01,Pit Gilman,https://www.baseball-reference.com/players/g/gilmapi01.shtml
gilmoji01,gilmoji01,Thomas Gilmore,https://www.baseball-reference.com/players/g/gilmoji01.shtml
